[1, 2, 0] ['Q', 'V', 'K'] ['A', 'B', 'C', 'D', 'F', 'E', 'G', 'I', 'H', 'Z', 'X', 'R', 'O', 'N', 'M', 'P', 'Q', 'L', 'S', 'T', 'U', 'V', 'W', 'K', 'Y', 'J']
[1, 4, 2] ['I', 'F', 'J'] ['R', 'M', 'C', 'U', 'E', 'M', 'G', 'H', 'I', 'J', 'Q', 'L', 'F', 'X', 'T', 'P', 'K', 'Y', 'S', 'O', 'D', 'V', 'W', 'N', 'R', 'Z']
[1, 4, 2] ['I', 'F', 'J'] ['R', 'M', 'C', 'U', 'E', 'M', 'G', 'H', 'I', 'J', 'Q', 'L', 'S', 'X', 'T', 'P', 'K', 'R', 'M', 'O', 'D', 'V', 'W', 'N', 'R', 'Z']
[1, 4, 2] ['I', 'F', 'J'] ['R', 'M', 'C', 'U', 'E', 'R', 'G', 'H', 'I', 'J', 'Q', 'L', 'Y', 'X', 'T', 'P', 'K', 'F', 'M', 'O', 'D', 'V', 'W', 'N', 'M', 'Z']
[1, 4, 2] ['I', 'F', 'J'] ['R', 'M', 'J', 'U', 'E', 'R', 'G', 'H', 'I', 'C', 'Q', 'L', 'S', 'X', 'T', 'P', 'K', 'R', 'M', 'Y', 'D', 'V', 'W', 'N', 'T', 'Z']
[1, 4, 2] ['I', 'F', 'J'] ['R', 'M', 'V', 'U', 'E', 'R', 'G', 'H', 'I', 'C', 'Q', 'L', 'S', 'X', 'T', 'P', 'K', 'R', 'M', 'W', 'D', 'C', 'T', 'N', 'T', 'Z']
[1, 4, 2] ['I', 'F', 'J'] ['R', 'M', 'W', 'U', 'E', 'R', 'G', 'H', 'I', 'C', 'Q', 'L', 'S', 'X', 'T', 'P', 'K', 'R', 'M', 'V', 'D', 'T', 'C', 'N', 'T', 'Z']
[1, 4, 2] ['I', 'F', 'J'] ['R', 'M', 'Y', 'U', 'E', 'R', 'G', 'H', 'I', 'T', 'Q', 'L', 'S', 'X', 'T', 'P', 'K', 'R', 'M', 'J', 'D', 'T', 'C', 'N', 'C', 'Z']
[1, 4, 2] ['K', 'P', 'O'] ['M', 'P', 'C', 'D', 'Y', 'Q', 'H', 'G', 'I', 'J', 'Z', 'L', 'A', 'P', 'O', 'N', 'F', 'R', 'S', 'T', 'V', 'U', 'W', 'X', 'E', 'Z']
[1, 4, 2] ['L', 'Z', 'Q'] ['M', 'M', 'C', 'D', 'E', 'T', 'U', 'H', 'K', 'J', 'I', 'L', 'B', 'N', 'O', 'P', 'Q', 'R', 'X', 'F', 'G', 'V', 'R', 'S', 'Y', 'Z']
[1, 4, 2] ['L', 'Z', 'Q'] ['M', 'M', 'C', 'M', 'E', 'T', 'U', 'H', 'K', 'R', 'I', 'L', 'D', 'N', 'O', 'P', 'Q', 'J', 'X', 'F', 'G', 'V', 'R', 'S', 'Y', 'Z']
[1, 4, 2] ['L', 'Z', 'Q'] ['M', 'M', 'C', 'R', 'E', 'T', 'U', 'H', 'K', 'M', 'I', 'L', 'J', 'N', 'O', 'P', 'Q', 'D', 'X', 'F', 'G', 'V', 'R', 'S', 'Y', 'Z']
[1, 4, 2] ['L', 'Z', 'Q'] ['R', 'M', 'C', 'R', 'E', 'T', 'U', 'H', 'K', 'M', 'I', 'L', 'W', 'N', 'O', 'P', 'Q', 'A', 'X', 'F', 'G', 'V', 'M', 'S', 'Y', 'Z']
[1, 4, 2] ['L', 'Z', 'Q'] ['R', 'M', 'O', 'R', 'E', 'T', 'U', 'H', 'K', 'M', 'I', 'L', 'B', 'N', 'C', 'P', 'Q', 'R', 'X', 'V', 'G', 'T', 'M', 'S', 'Y', 'Z']
[1, 4, 2] ['L', 'Z', 'Q'] ['R', 'M', 'V', 'R', 'E', 'T', 'U', 'H', 'K', 'M', 'I', 'L', 'B', 'N', 'T', 'P', 'Q', 'R', 'X', 'O', 'G', 'C', 'M', 'S', 'Y', 'Z']
